"AccountId","CreditDebitIndicator","Status","BookingDateTime","TransactionInformation","Amount.Amount","Amount.Currency","ProprietaryBankTransactionCode.Code","Balance.CreditDebitIndicator","Balance.Type","Balance.Amount.Amount","Balance.Amount.Currency"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-04-01T00:00:00.000Z","other_credit","39547.10","GBP","TFR","Credit","Information","55737.81","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-04-01T00:00:00.000Z","other_debit","1134.85","GBP","TFR","Credit","Information","54602.96","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-04-09T00:00:00.000Z","other_debit","586.77","GBP","TFR","Credit","Information","54016.19","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-04-13T00:00:00.000Z","other_credit","7255.35","GBP","TFR","Credit","Information","61271.54","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-04-14T00:00:00.000Z","household","3708.09","GBP","TFR","Credit","Information","57563.45","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-04-30T00:00:00.000Z","interest_credited","7.48","GBP","TFR","Credit","Information","57570.93","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-04-30T00:00:00.000Z","other_debit","7649.59","GBP","TFR","Credit","Information","49921.34","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-05-05T00:00:00.000Z","other_debit","3217.37","GBP","TFR","Credit","Information","46703.97","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-05-16T00:00:00.000Z","other_credit","1984.57","GBP","TFR","Credit","Information","48688.54","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-05-21T00:00:00.000Z","other_debit","6850.27","GBP","TFR","Credit","Information","41838.27","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-06-06T00:00:00.000Z","other_credit","42246.09","GBP","TFR","Credit","Information","84084.36","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-06-08T00:00:00.000Z","household","1629.47","GBP","TFR","Credit","Information","82454.89","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-06-14T00:00:00.000Z","other_credit","2649.01","GBP","TFR","Credit","Information","85103.90","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-06-20T00:00:00.000Z","other_debit","10876.10","GBP","TFR","Credit","Information","74227.80","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-07-03T00:00:00.000Z","other_debit","816.06","GBP","TFR","Credit","Information","73411.74","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-07-05T00:00:00.000Z","other_debit","8352.74","GBP","TFR","Credit","Information","65059.00","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-07-28T00:00:00.000Z","interest_credited","251.36","GBP","TFR","Credit","Information","65310.36","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-07-28T00:00:00.000Z","payment_for_statement","26.02","GBP","TFR","Credit","Information","65284.34","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-07-28T00:00:00.000Z","other_debit","2386.12","GBP","TFR","Credit","Information","62898.22","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-08-01T00:00:00.000Z","other_debit","434.43","GBP","TFR","Credit","Information","62463.79","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-08-01T00:00:00.000Z","other_credit","534.93","GBP","TFR","Credit","Information","62998.72","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-08-04T00:00:00.000Z","other_debit","159.89","GBP","TFR","Credit","Information","62838.83","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-08-31T00:00:00.000Z","payment_for_statement","26.02","GBP","TFR","Credit","Information","62812.81","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-08-31T00:00:00.000Z","interest_credited","189.74","GBP","TFR","Credit","Information","63002.55","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-09-01T00:00:00.000Z","other_debit","625.43","GBP","TFR","Credit","Information","62377.12","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-09-01T00:00:00.000Z","other_debit","2283.25","GBP","TFR","Credit","Information","60093.87","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-09-11T00:00:00.000Z","other_credit","10466.71","GBP","TFR","Credit","Information","70560.58","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-09-16T00:00:00.000Z","other_debit","12127.95","GBP","TFR","Credit","Information","58432.63","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-09-18T00:00:00.000Z","other_debit","6377.57","GBP","TFR","Credit","Information","52055.06","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-09-26T00:00:00.000Z","other_credit","14242.02","GBP","TFR","Credit","Information","66297.08","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-10-09T00:00:00.000Z","other_debit","1640.66","GBP","TFR","Credit","Information","64656.42","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-10-09T00:00:00.000Z","insurance_payment","15317.99","GBP","TFR","Credit","Information","49338.43","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-10-10T00:00:00.000Z","other_debit","118.72","GBP","TFR","Credit","Information","49219.71","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-10-17T00:00:00.000Z","other_credit","10117.45","GBP","TFR","Credit","Information","59337.16","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-10-17T00:00:00.000Z","other_debit","4976.52","GBP","TFR","Credit","Information","54360.64","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-10-22T00:00:00.000Z","other_debit","3013.12","GBP","TFR","Credit","Information","51347.52","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-10-22T00:00:00.000Z","other_credit","9899.17","GBP","TFR","Credit","Information","61246.69","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-10-23T00:00:00.000Z","other_debit","542.55","GBP","TFR","Credit","Information","60704.14","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-11-07T00:00:00.000Z","other_credit","36470.68","GBP","TFR","Credit","Information","97174.82","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-11-14T00:00:00.000Z","other_debit","3376.64","GBP","TFR","Credit","Information","93798.18","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-11-30T00:00:00.000Z","interest_credited","629.84","GBP","TFR","Credit","Information","94428.02","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-11-30T00:00:00.000Z","interest_credited","53.00","GBP","TFR","Credit","Information","94481.02","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-12-01T00:00:00.000Z","other_debit","2801.52","GBP","TFR","Credit","Information","91679.50","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-12-01T00:00:00.000Z","other_debit","11426.51","GBP","TFR","Credit","Information","80252.99","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-12-03T00:00:00.000Z","other_debit","2392.10","GBP","TFR","Credit","Information","77860.89","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-12-07T00:00:00.000Z","other_debit","446.82","GBP","TFR","Credit","Information","77414.07","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-12-09T00:00:00.000Z","other_debit","1430.13","GBP","TFR","Credit","Information","75983.94","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-12-09T00:00:00.000Z","other_debit","1397.00","GBP","TFR","Credit","Information","74586.94","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Debit","Booked","2017-12-11T00:00:00.000Z","other_debit","5408.28","GBP","TFR","Credit","Information","69178.66","GBP"
"83cba305-b6b0-4fde-8cea-44b7955fdce3","Credit","Booked","2017-12-18T00:00:00.000Z","other_credit","21463.25","GBP","TFR","Credit","Information","90641.91","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-01-18T00:00:00.000Z","other_debit","3767.07","GBP","TFR","Credit","Information","2092.84","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-02-01T00:00:00.000Z","other_debit","887.69","GBP","TFR","Credit","Information","1205.15","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Credit","Booked","2017-02-11T00:00:00.000Z","other_credit","15285.95","GBP","TFR","Credit","Information","16491.10","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-02-22T00:00:00.000Z","other_debit","3494.47","GBP","TFR","Credit","Information","12996.63","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Credit","Booked","2017-03-05T00:00:00.000Z","other_credit","13753.34","GBP","TFR","Credit","Information","26749.97","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-03-14T00:00:00.000Z","household","4141.69","GBP","TFR","Credit","Information","22608.28","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-03-19T00:00:00.000Z","other_debit","3065.83","GBP","TFR","Credit","Information","19542.45","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-03-27T00:00:00.000Z","other_debit","2796.71","GBP","TFR","Credit","Information","16745.74","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-03-31T00:00:00.000Z","payment_for_statement","35.25","GBP","TFR","Credit","Information","16710.49","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Credit","Booked","2017-03-31T00:00:00.000Z","interest_credited","194.77","GBP","TFR","Credit","Information","16905.26","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-04-01T00:00:00.000Z","household","926.23","GBP","TFR","Credit","Information","15979.03","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-04-01T00:00:00.000Z","other_debit","14458.40","GBP","TFR","Credit","Information","1520.63","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-05-01T00:00:00.000Z","other_debit","575.19","GBP","TFR","Credit","Information","945.44","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-06-01T00:00:00.000Z","other_debit","216.08","GBP","TFR","Credit","Information","729.36","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-06-01T00:00:00.000Z","other_debit","405.42","GBP","TFR","Credit","Information","323.94","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Credit","Booked","2017-06-28T00:00:00.000Z","interest_credited","66.90","GBP","TFR","Credit","Information","390.84","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Credit","Booked","2017-06-30T00:00:00.000Z","interest_credited","45.33","GBP","TFR","Credit","Information","436.17","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Credit","Booked","2017-07-01T00:00:00.000Z","other_credit","2404.29","GBP","TFR","Credit","Information","2840.46","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-07-10T00:00:00.000Z","other_debit","703.04","GBP","TFR","Credit","Information","2137.42","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Credit","Booked","2017-07-11T00:00:00.000Z","other_credit","3723.01","GBP","TFR","Credit","Information","5860.43","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-07-12T00:00:00.000Z","loan_payment","2221.40","GBP","TFR","Credit","Information","3639.03","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-07-15T00:00:00.000Z","household","2468.06","GBP","TFR","Credit","Information","1170.97","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-07-17T00:00:00.000Z","other_debit","621.71","GBP","TFR","Credit","Information","549.26","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-07-28T00:00:00.000Z","other_debit","290.90","GBP","TFR","Credit","Information","258.36","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-07-28T00:00:00.000Z","payment_for_statement","35.25","GBP","TFR","Credit","Information","223.11","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Credit","Booked","2017-08-10T00:00:00.000Z","other_credit","19180.22","GBP","TFR","Credit","Information","19403.33","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-08-25T00:00:00.000Z","other_debit","3385.94","GBP","TFR","Credit","Information","16017.39","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-09-01T00:00:00.000Z","other_debit","565.35","GBP","TFR","Credit","Information","15452.04","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-09-01T00:00:00.000Z","other_debit","2324.60","GBP","TFR","Credit","Information","13127.44","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Credit","Booked","2017-09-05T00:00:00.000Z","other_credit","8559.77","GBP","TFR","Credit","Information","21687.21","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-10-01T00:00:00.000Z","other_debit","357.53","GBP","TFR","Credit","Information","21329.68","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-10-01T00:00:00.000Z","other_debit","1986.48","GBP","TFR","Credit","Information","19343.20","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Credit","Booked","2017-10-06T00:00:00.000Z","other_credit","6147.11","GBP","TFR","Credit","Information","25490.31","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-10-07T00:00:00.000Z","household","4509.03","GBP","TFR","Credit","Information","20981.28","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-10-12T00:00:00.000Z","household","2806.99","GBP","TFR","Credit","Information","18174.29","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-10-19T00:00:00.000Z","other_debit","8275.67","GBP","TFR","Credit","Information","9898.62","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-10-27T00:00:00.000Z","other_debit","991.62","GBP","TFR","Credit","Information","8907.00","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Credit","Booked","2017-11-03T00:00:00.000Z","other_credit","109941.19","GBP","TFR","Credit","Information","118848.19","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-11-06T00:00:00.000Z","household","1716.16","GBP","TFR","Credit","Information","117132.03","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-11-14T00:00:00.000Z","other_debit","6294.46","GBP","TFR","Credit","Information","110837.57","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-12-01T00:00:00.000Z","other_debit","517.87","GBP","TFR","Credit","Information","110319.70","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-12-01T00:00:00.000Z","other_debit","448.54","GBP","TFR","Credit","Information","109871.16","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-12-10T00:00:00.000Z","other_debit","1784.91","GBP","TFR","Credit","Information","108086.25","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-12-11T00:00:00.000Z","household","5447.69","GBP","TFR","Credit","Information","102638.56","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-12-12T00:00:00.000Z","loan_payment","2221.40","GBP","TFR","Credit","Information","100417.16","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Credit","Booked","2017-12-14T00:00:00.000Z","other_credit","42946.71","GBP","TFR","Credit","Information","143363.87","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Debit","Booked","2017-12-30T00:00:00.000Z","payment_for_statement","35.25","GBP","TFR","Credit","Information","143328.62","GBP"
"9a64a738-6e8e-45d9-bb5a-52b952315544","Credit","Booked","2017-12-30T00:00:00.000Z","interest_credited","207.61","GBP","TFR","Credit","Information","143536.23","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-01-05T00:00:00.000Z","household","4828.63","GBP","TFR","Credit","Information","725.86","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Credit","Booked","2017-01-09T00:00:00.000Z","other_credit","18010.74","GBP","TFR","Credit","Information","18736.60","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-01-10T00:00:00.000Z","other_debit","340.08","GBP","TFR","Credit","Information","18396.52","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-01-12T00:00:00.000Z","loan_payment","3143.18","GBP","TFR","Credit","Information","15253.34","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-01-13T00:00:00.000Z","household","7591.80","GBP","TFR","Credit","Information","7661.54","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-01-13T00:00:00.000Z","household","4092.42","GBP","TFR","Credit","Information","3569.12","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-01-24T00:00:00.000Z","other_debit","2054.81","GBP","TFR","Credit","Information","1514.31","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Credit","Booked","2017-01-31T00:00:00.000Z","interest_credited","21.54","GBP","TFR","Credit","Information","1535.85","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-01-31T00:00:00.000Z","payment_for_statement","6.74","GBP","TFR","Credit","Information","1529.11","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-02-01T00:00:00.000Z","other_debit","915.82","GBP","TFR","Credit","Information","613.29","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-02-08T00:00:00.000Z","insurance_payment","152.29","GBP","TFR","Credit","Information","461.00","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Credit","Booked","2017-02-19T00:00:00.000Z","other_credit","14921.90","GBP","TFR","Credit","Information","15382.90","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Credit","Booked","2017-03-11T00:00:00.000Z","other_credit","18147.29","GBP","TFR","Credit","Information","33530.19","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-03-12T00:00:00.000Z","loan_payment","3143.18","GBP","TFR","Credit","Information","30387.01","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-03-19T00:00:00.000Z","other_debit","8814.63","GBP","TFR","Credit","Information","21572.38","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-03-25T00:00:00.000Z","other_debit","532.74","GBP","TFR","Credit","Information","21039.64","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-04-01T00:00:00.000Z","other_debit","2529.97","GBP","TFR","Credit","Information","18509.67","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-04-01T00:00:00.000Z","other_debit","681.72","GBP","TFR","Credit","Information","17827.95","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Credit","Booked","2017-04-07T00:00:00.000Z","old_age_pension","4165.49","GBP","TFR","Credit","Information","21993.44","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Credit","Booked","2017-04-08T00:00:00.000Z","other_credit","6291.78","GBP","TFR","Credit","Information","28285.22","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-04-10T00:00:00.000Z","household","5128.73","GBP","TFR","Credit","Information","23156.49","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-04-12T00:00:00.000Z","loan_payment","3143.18","GBP","TFR","Credit","Information","20013.31","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-04-13T00:00:00.000Z","other_debit","633.89","GBP","TFR","Credit","Information","19379.42","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-05-01T00:00:00.000Z","other_debit","8381.83","GBP","TFR","Credit","Information","10997.59","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-05-01T00:00:00.000Z","other_debit","2411.69","GBP","TFR","Credit","Information","8585.90","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-05-06T00:00:00.000Z","household","1835.95","GBP","TFR","Credit","Information","6749.95","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-05-07T00:00:00.000Z","other_debit","29.98","GBP","TFR","Credit","Information","6719.97","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-05-07T00:00:00.000Z","household","3870.37","GBP","TFR","Credit","Information","2849.60","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-06-01T00:00:00.000Z","other_debit","350.54","GBP","TFR","Credit","Information","2499.06","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Credit","Booked","2017-06-01T00:00:00.000Z","other_credit","1687.89","GBP","TFR","Credit","Information","4186.95","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Credit","Booked","2017-06-07T00:00:00.000Z","old_age_pension","4165.49","GBP","TFR","Credit","Information","8352.44","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-06-11T00:00:00.000Z","household","4026.16","GBP","TFR","Credit","Information","4326.28","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Credit","Booked","2017-06-29T00:00:00.000Z","other_credit","552.34","GBP","TFR","Credit","Information","4878.62","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-07-01T00:00:00.000Z","other_debit","980.13","GBP","TFR","Credit","Information","3898.49","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Credit","Booked","2017-07-06T00:00:00.000Z","other_credit","7467.05","GBP","TFR","Credit","Information","11365.54","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-07-10T00:00:00.000Z","other_debit","2254.98","GBP","TFR","Credit","Information","9110.56","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-08-06T00:00:00.000Z","household","6944.99","GBP","TFR","Credit","Information","2165.57","GBP"
"1f206d1c-ea74-428f-96f0-18fce2efff30","Debit","Booked","2017-08-09T00:00:00.000Z","household","1708.31","GBP","TFR","Credit","Information","457.26","GBP"
